States,Sample Total,6 mos - 17 yrs,18-64 yrs,18-64 yrs at high risk,18-64 yrs not at high risk,≥65 yrs,White,Black,Hispanic,Other/ Multiple Races
Alabama,42.4,53.8,31.7,38.1,29.1,65.4,42.7,39.5,51.4,42.9
Alaska,40.2,48.4,35,38.8,34.5,51.9,39.9,47.2,33.9,42.7
Arizona,38.9,51.3,29.1,34.2,27.7,56.2,39.5,37.7,36.1,46
Arkansas,41.7,63.6,29.3,38.5,25.4,54.7,41.5,38.8,56,39.8
California,40,57.3,29.6,35.3,28.3,58.1,44.4,35,35.2,43.2
Colorado,45.2,62.4,35.5,44.3,33.4,61.8,45,40.7,46.1,47.7
Connecticut,46.3,71.3,33.1,43.2,30.2,63.1,47.1,42.9,46,44.2
Delaware,47.6,65.2,36.4,41.7,35,64.9,48,43.6,51.8,52.5
District of Columbia,NR,69,NR,NR,NR,NR,NR,NR,NR,NR
Florida,35.6,46.1,22.8,35.5,18.7,61.6,40.9,31.4,27.8,31.9
Georgia,38.7,51.3,28.9,37.4,26.7,60.3,40.6,34.6,38.3,44
Hawaii,43.2,61,32.7,42.1,29.9,57.2,43.1,51.7,40.3,43.8
Idaho,37,48,27.9,34,25.9,53.4,36.9,NR  ,39.3,35.4
Illinois,39.9,54.9,28.8,36.9,26.7,62.4,41.4,35.5,37.1,44.4
Indiana,37,51.7,27.4,34.9,25,52.5,36.4,38.8,38.3,40.8
Iowa,47.1,58.9,37.2,44.5,35.5,65.2,47.3,42.5,44.9,49.2
Kansas,41.1,53.2,31.4,36.2,30,60,40.7,35.2,49.5,38.6
Kentucky,44.1,55.3,34.1,41.9,31.1,66.9,44.4,39.4,53.7,38.2
Louisiana,35.3,55.6,25.3,31.9,23,45.1,35.6,34.8,43.5,34.5
Maine,41.2,59.7,31.4,35.3,30,53.5,41,56.8,39.2,37.1
Maryland,49.3,67.5,39.3,45.9,37.2,63.8,52.4,43.9,50.3,49.8
Massachusetts,49.7,73.8,39.9,46.2,38.1,57.5,49.3,45.7,52.6,53
Michigan,39.5,54,29.5,32.9,28.3,56.3,41,30.6,45.2,36.4
Minnesota,48.4,61.9,38.6,48,36.2,66,48.5,47.4,46.2,49.3
Mississippi,44.3,51.2,36,35.5,35.5,61.1,47.5,38.6,48.2,31.8
Missouri,42.4,50.8,32.7,38,31,65.8,42.6,47.1,40.4,36.4
Montana,42.1,50.3,32.3,45,28.9,62.8,41.1,54.4,51.9,49.2
Nebraska,47,62.9,36.6,41.7,35.3,62.1,46.6,50.8,48.2,47.6
Nevada,39.1,49.5,28.2,39.3,24.9,65.7,43.1,36.8,33.5,40.8
New Hampshire,43.7,66.3,33.2,39.5,31.1,56.6,43.5,44.6,43.9,46.9
New Jersey,48.1,69.1,35.5,52.4,30.7,66.6,50.4,48,42.6,43.9
New Mexico,43.7,62.3,32.6,44.2,28.5,57,45.6,53.3,41.7,43.4
New York,40.4,64.9,28.8,34.8,26.7,53,40.6,35.2,44.4,40.2
North Carolina,46,59.3,34.6,41.4,32.6,71.3,48.7,39.5,45.5,40.8
North Dakota,44.9,62.4,34.5,46.3,31.8,61.4,45.5,48.1,36.5,43.8
Ohio,42.8,56.2,32.5,38.5,30.5,60.8,42.6,46,42.5,41.3
Oklahoma,44.9,55,33.7,41.4,30.8,72.6,47,38.9,40.7,42.3
Oregon,40.5,54,30.7,42.8,27.1,58.2,42.3,47,34.7,34.4
Pennsylvania,46,65.3,36.7,46.5,33.5,56.9,44.9,44.3,50.9,57.2
Rhode Island,50.1,76.2,38.8,44,36.8,61.1,49.7,45.1,53.4,46.6
South Carolina,44.1,57.2,33.1,40.9,30.3,65.9,44.3,43.6,44.8,43.4
South Dakota,47.7,64.4,37.7,37.4,37.9,58.4,47,60.3,58.5,47.6
Tennessee,36.4,61.5,24.4,28.8,22.9,47.6,37.1,27.3,57.2,28.9
Texas,37.6,58,26,33.7,23.8,52.6,37.8,35.7,36.9,43.9
Utah,38.5,47.4,30.7,38.6,28.7,57.9,39.2,38.7,36.9,33.1
Vermont,43.6,59.5,33.4,45.1,30.1,60.8,43.3,55.7,53.2,42.5
Virginia,48.1,65.2,37.8,47.5,35.3,65.2,50.2,42.5,43,51
Washington,48.5,61.3,39.5,47.5,37.3,65.4,49.2,47.7,43.2,51.2
West Virginia,47.6,53,39,44.3,36.2,68.1,47.5,50.1,49.1,48.9
Wisconsin,40.4,60,30.7,37.4,28.7,50.2,39.5,42.2,46.3,43.8
Wyoming,35.3,43.2,27.4,38.1,24.8,53.8,35.4,30.5,37.8,27.9
United States,41.7,57.9,31.1,38.8,28.8,59.6,43.2,38.2,38.6,43.2
